,,,Boys,,,,,,,,,Girls
Team,Link,Distance,Avg,17-18,,16-17,,15-16,,14-15,,Avg,17-18,,16-17,,15-16,,14-15
,,,,Record,Rank,Record,Rank,Record,Rank,Record,Rank,,Record,Rank,Record,Rank,Record,Rank,Record,Rank
Heartland (Henderson),"https://www.maxpreps.com/high-schools/heartland-huskies-(henderson,ne)/basketball/rankings.htm",55.2166666666667,,="24-5",5357,="14-10",7885,="14-9",8483,="13-0",2820,,="9-15",10471,="14-8",5793,="22-6",4087,="11-3",4614
Heartland Lutheran (Grand Island),"https://www.maxpreps.com/high-schools/heartland-lutheran-red-hornets-(grand-island,ne)/basketball/rankings.htm",85.7,,="14-10",11983,="16-9",8886,="14-9",12195,="4-11",15918,,="9-13",9934,="13-11",10349,="5-17",15758,="6-9",13366
High Plains (Polk),"https://www.maxpreps.com/high-schools/high-plains-storm-(polk,ne)/basketball/rankings.htm",73.2666666666667,,="26-2",2426,="23-4",3233,="3-16",18637,="0-14",18400,,="10-12",9448,="6-15",14235,="2-17",17341,="4-10",14905
Holdrege,"https://www.maxpreps.com/high-schools/holdrege-dusters-(holdrege,ne)/basketball/rankings.htm",138.216666666667,,="8-16",10986,="9-14",9302,="12-11",4883,="5-9",10868,,="15-8",3631,="8-15",9760,="9-13",7174,="2-13",14090
Homer,"https://www.maxpreps.com/high-schools/homer-knights-(homer,ne)/basketball/rankings.htm",123.7,,="12-11",11877,="3-19",15399,="1-20",17500,="5-11",13728,,="12-10",4061,="6-15",10953,="9-14",10392,="6-10",11412
Howells-Dodge (Howells),"https://www.maxpreps.com/high-schools/howells-dodge-jaguars-(howells,ne)/basketball/rankings.htm",91.3,,="8-16",12109,="9-16",10500,="10-13",11182,="9-7",6155,,="22-7",2419,="21-7",1731,="25-3",443,="9-8",4967
Humboldt-Table Rock-Steinauer (Humboldt),"https://www.maxpreps.com/high-schools/humboldt-table-rock-steinauer-titans-(humboldt,ne)/basketball/rankings.htm",94.2666666666667,,="16-11",11172,="16-10",6630,="9-14",13185,="5-11",13051,,="7-16",11652,="6-17",12951,="4-18",15943,="6-11",13905
Humphrey/Lindsay Holy Family (Humphrey),"https://www.maxpreps.com/high-schools/humphrey-holy-family-(humphrey,ne)/basketball/rankings.htm",105.866666666667,,="11-13",12486,="15-8",7340,="18-5",5528,="9-7",8804,,="11-13",7659,="16-8",3680,="17-5",3912,="14-3",3865
Johnson County Central (Tecumseh),"https://www.maxpreps.com/high-schools/johnson-county-central-thunderbirds-(tecumseh,ne)/basketball/rankings.htm",66.0333333333333,,="18-7",6170,="17-6",3151,="2-19",17054,="7-8",9321,,="5-17",12654,="3-19",15730,="4-18",16763,="2-13",16731
Johnson-Brock (Johnson),"https://www.maxpreps.com/high-schools/johnson-brock-eagles-(johnson,ne)/basketball/rankings.htm",74.0333333333333,,="7-12",14486,="11-12",8340,="17-7",3726,="13-3",2317,,="10-12",9602,="8-15",12027,="12-11",9667,="10-6",7883
Kearney,"https://www.maxpreps.com/high-schools/kearney-bearcats-(kearney,ne)/basketball/rankings.htm",111.616666666667,,="11-13",2241,="16-8",2810,="22-5",606,="11-5",2561,,="20-7",1061,="16-9",2936,="16-10",5255,="8-8",5561
Kearney Catholic (Kearney),"https://www.maxpreps.com/high-schools/kearney-catholic-stars-(kearney,ne)/basketball/rankings.htm",111.616666666667,,="15-10",5849,="17-9",5000,="21-6",2221,="2-14",13331,,="26-3",558,="28-1",328,="29-1",323,="11-7",4502
Kenesaw,"https://www.maxpreps.com/high-schools/kenesaw-blue-devils-(kenesaw,ne)/basketball/rankings.htm",115.25,,="16-9",11548,="20-6",6718,="18-6",9515,="16-0",2125,,="8-13",10100,="19-9",7778,="6-16",15402,="9-8",10344
Lakeview (Columbus),"https://www.maxpreps.com/high-schools/lakeview-vikings-(columbus,ne)/basketball/rankings.htm",82.1333333333333,,="6-17",11082,="9-15",9067,="2-24",14546,="3-12",12792,,="7-13",8645,="11-12",7765,="10-15",8533,="8-7",7659
Lawrence-Nelson (Nelson),"https://www.maxpreps.com/high-schools/lawrence-nelson-raiders-(nelson,ne)/basketball/rankings.htm",112.2,,="8-15",17069,="13-11",12642,="16-8",12935,="7-8",13522,,="10-15",9846,="18-7",6367,="10-15",12563,="8-8",8868
Lewiston,"https://www.maxpreps.com/high-schools/lewiston-tigers-(lewiston,ne)/basketball/rankings.htm",68.5833333333333,,="0-22",18342,="12-13",10474,="11-13",14210,="5-10",15717,,="4-18",12872,="7-15",14045,="7-17",15072,="2-13",16521
Lexington,"https://www.maxpreps.com/high-schools/lexington-minutemen-(lexington,ne)/basketball/rankings.htm",141.016666666667,,="8-18",9688,="8-18",8988,="8-16",7091,="10-7",4763,,="9-16",8121,="11-14",8043,="3-21",14086,="3-15",14194
Lincoln,"https://www.maxpreps.com/high-schools/lincoln-links-(lincoln,ne)/basketball/rankings.htm",0,,="19-5",666,="4-20",12426,="6-18",9409,="9-7",3855,,="3-23",9678,="5-19",11272,="10-14",9526,="9-6",4020
Lincoln Christian (Lincoln),"https://www.maxpreps.com/high-schools/lincoln-christian-crusaders-(lincoln,ne)/basketball/rankings.htm",0,,="11-15",7197,="7-17",8770,="11-11",4028,="11-4",2058,,="24-5",703,="25-2",288,="28-2",57,="13-4",677
Lincoln East (Lincoln),"https://www.maxpreps.com/high-schools/lincoln-east-spartans-(lincoln,ne)/basketball/rankings.htm",0,,="11-13",1897,="19-6",2151,="18-7",1673,="15-0",453,,="12-12",3483,="23-5",929,="19-7",3549,="12-3",1235
Lincoln Lutheran (Lincoln),"https://www.maxpreps.com/high-schools/lincoln-lutheran-warriors-(lincoln,ne)/basketball/rankings.htm",0,,="14-11",7432,="17-9",2802,="12-11",4535,="7-8",5674,,="11-14",6087,="12-10",4747,="11-12",4724,="12-3",1047
Lincoln Northeast (Lincoln),"https://www.maxpreps.com/high-schools/lincoln-northeast-rockets-(lincoln,ne)/basketball/rankings.htm",0,,="21-6",208,="16-10",2495,="14-11",2429,="0-16",16250,,="26-2",216,="14-11",3932,="24-3",1680,="11-4",2075
Lincoln Southeast (Lincoln),"https://www.maxpreps.com/high-schools/lincoln-southeast-knights-(lincoln,ne)/basketball/rankings.htm",0,,="7-18",1753,="13-13",4494,="11-14",5313,="3-14",12341,,="8-17",6371,="12-12",4912,="16-9",4544,="7-9",7579
